family_id	domain	name	issuer	object_type	grammar_class	regex_exactness	status	canonical_form	examples	aliases_variations	candidate_regex_python	normalization	required_context	semantic_validation	uniqueness_key_scope	privacy_class	edge_cases	source_ids	repository_ids	confidence
clinicaltrials.nct	agency_program_technical	ClinicalTrials.gov NCT number	National Library of Medicine	registered study	formal	candidate	current	NCT + eight digits	NCT01234567		\bNCT\d{8}\b	Uppercase NCT.		Lookup ClinicalTrials.gov.	ClinicalTrials.gov namespace	public	NCT is assigned after registration submission; protocol numbers and other registry IDs are separate.	clinicaltrials		high
cyber.cve	agency_program_technical	CVE ID	CVE Program / authorized CNAs	vulnerability	standards	candidate	current	CVE-YYYY-sequence of at least four digits	CVE-2024-12345 | CVE-1999-0001		\bCVE-\d{4}-\d{4,}\b	Uppercase CVE.		Lookup CVE record and status; NVD is an enrichment source, not the assigning authority.	CVE namespace	public	Not a federal-government identifier, although NIST NVD tracks it; rejected/reserved records and aliases require lifecycle handling.	cve		high
education.eric_accession	agency_program_technical	ERIC accession number	Institute of Education Sciences / ERIC	education research record	formal	candidate	current	ED/EJ + six or seven digits	ED123456 | EJ1234567		\bE[DJ]\d{6,7}\b	Uppercase.		Lookup ERIC.	ERIC namespace	public	ED documents and EJ journal articles use distinct prefixes; not the DOI.	niem		medium
education.nces_district_id	agency_program_technical	NCES local education agency/district ID	National Center for Education Statistics	school district/LEA	controlled	lookup	current	Seven digits	1100030		^\d{7}$	Preserve leading zeros.	NCES LEA/district field.	Lookup school-year NCES LEA directory.	school-year + NCES LEA ID	public	Vintage-specific; seven digits are generic without context.	niem	niem_repo	medium
education.nces_school_id	agency_program_technical	NCES school ID	National Center for Education Statistics	school	controlled	lookup	current	Twelve digits	110003000001		^\d{12}$	Preserve leading zeros.	NCES school field.	Lookup school-year NCES directory.	school-year + NCES school ID	public	Often constructed from district ID plus school sequence; schools close/reopen and IDs can change. Collides with EPA IDs by shape.	niem	niem_repo	medium
epa.frs_registry_id	agency_program_technical	EPA Facility Registry Service Registry ID	Environmental Protection Agency	facility/site	formal	contextual	current	Twelve digits	110012345678		\b\d{12}\b	Preserve leading zeros.	FRS/EPA facility field.	Lookup in FRS; crosswalk program-system IDs.	EPA FRS namespace	public	FRS integrates many program IDs; one physical site may have many source-system facility IDs.	epa_frs		high
epa.npdes_permit	agency_program_technical	NPDES permit number	EPA / authorized state	water-discharge permit	delegated	broad	current	Common form two-letter jurisdiction + seven digits	DC0000221 | VA0099999		\b[A-Z]{2}\d{7}\b	Uppercase jurisdiction.	NPDES/permit context.	Lookup in ECHO/state NPDES data.	issuing jurisdiction + permit number	public	General-permit coverage IDs and state systems can add letters/suffixes; common regex is not exhaustive.	epa_frs		medium
epa.rcra_handler_id	agency_program_technical	RCRA Handler ID	EPA / authorized state	hazardous-waste handler	formal	broad	current	4–12 alphanumeric characters; commonly state/territory prefix + program character + serial	VAD000123456 | NND000123456		\b[A-Z]{2}[A-Z0-9]{2,10}\b	Uppercase.	RCRA/EPA handler context.	Lookup in RCRAInfo and validate jurisdiction prefix.	RCRAInfo handler namespace	public	Format/length varies; NN is used in some federal/non-state contexts. Do not infer a facility identity across program IDs without FRS crosswalk.	epa_rcra		high
epa.rmp_facility_id	agency_program_technical	EPA Risk Management Plan facility ID	Environmental Protection Agency	RMP facility	formal	contextual	current	Twelve digits	100000000001		\b\d{12}\b	Preserve leading zeros.	RMP facility field.	Lookup in RMP data.	EPA RMP namespace	public_or_restricted	Same length as FRS Registry ID; program context required and sensitive facility details may be restricted.	epa_rmp		high
epa.tri_facility_id	agency_program_technical	TRI Facility ID	EPA Toxics Release Inventory	facility	delegated	broad	current	Program-assigned value up to 15 characters	12345ABCDEF12345		\b[A-Z0-9]{5,15}\b	Uppercase.	TRI Facility ID field.	Lookup in TRI data.	TRI facility namespace	public	No safe universal grammar; often derived from location/name history and may change after facility changes.	epa_tri		high
